Pilot;15;5;5
Pincher;0;0;1
Pirate;120;14;14
Plant;71;2;6
Praetor;12;10;1
Primarch;3;2;0
Prism;0;0;5
Processor;11;0;2
Rabbit;8;3;0
Raccoon;2;0;0
Ranger;43;8;1
Rat;74;8;3
Rebel;52;2;2
Reflection;3;1;5
Rhino;52;4;5
Rigger;2;0;0
Robot;24;15;6
Rogue;428;53;30
Sable;1;0;0
Salamander;14;1;0
Samurai;67;23;8
Sand;9;2;6
Saproling;44;8;39
Satyr;30;2;3
Scarecrow;39;1;0
Scion;29;3;8
Scorpion;15;1;0
Scout;168;14;1
Sculpture;2;0;0
Serf;1;0;0
Serpent;53;8;6
Servo;23;1;10
Shade;33;1;1
Shaman;469;72;6
Shapeshifter;118;10;14
Shark;10;2;1
Sheep;5;0;0
Siren;17;2;0
Skeleton;67;5;5
Slith;6;0;0
Sliver;111;5;3
Slug;8;1;0
Snake;111;18;13
Soldier;842;100;81
Soltari;10;0;0
Spawn;23;2;9
Specter;25;1;0
Spellshaper;56;6;0
Sphinx;72;14;4
Spider;74;6;9
Spike;14;0;4
Spirit;654;114;108
Splinter;0;0;1
Sponge;2;0;0
Squid;7;0;0
Squirrel;21;2;14
Starfish;3;0;0
Surrakar;4;0;0
Survivor;11;1;0
Tentacle;1;0;0
Tetravite;1;0;0
Thalakos;7;0;1
Thopter;39;6;17
Thrull;26;1;8
Tiefling;17;5;0
Treefolk;94;8;10
Trilobite;4;0;0
Triskelavite;1;0;0
Troll;47;6;3
Turtle;30;3;2
Tyranid;37;6;1
Unicorn;27;2;1
Vampire;357;59;38
Vedalken;64;2;1
Viashino;53;5;0
Volver;5;0;0
Wall;179;1;40
Walrus;1;0;0
Warlock;71;24;2
Warrior;973;161;73
Weird;10;1;3
Werewolf;86;2;13
Whale;13;1;0
Wizard;965;178;36
Wolf;99;8;27
Wolverine;8;0;0
Wombat;1;0;0
Worm;11;0;2
Wraith;6;0;0
Wurm;102;3;8
Yeti;13;1;0
Zombie;609;59;115
Zubera;7;0;0
